director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,language
j.b. rogers,chris klein,comedy|romance,eddie cibrian,say it isn't so,jack plotnick,english
roger donaldson,antony starr,biography|drama|sport,anthony hopkins,the world's fastest indian,craig hall,english
david r. ellis,kenan thompson,action|adventure|crime|drama|thriller,lin shaye,snakes on a plane,rachel blanchard,english
rachel talalay,lori petty,action|comedy|sci-fi,naomi watts,tank girl,jeff kober,english
jeffrey w. byrd,loretta devine,comedy|crime,donald faison,king's ransom,regina hall,english
fernando meirelles,joe pingue,drama|mystery|sci-fi|thriller,don mckellar,blindness,yûsuke iseya,english
uwe boll,udo kier,action|adventure|fantasy|horror,meat loaf,bloodrayne,michael paré,english
roman polanski,christoph waltz,comedy|drama,kate winslet,carnage,julie adams,english
atom egoyan,alison lohman,crime|drama|mystery|thriller,colin firth,where the truth lies,rachel blanchard,english
andrew adamson,erica linz,fantasy,dallas barnett,cirque du soleil: worlds away,igor zaripov,english
robert towne,monica potter,biography|drama|sport,billy burke,without limits,billy crudup,english
richard linklater,aidan mcardle,drama,zoe kazan,me and orson welles,james tupper,english
giuseppe tornatore,sean buchanan,crime|drama|mystery|romance,jim sturgess,the best offer,liya kebede,english
werner herzog,shea whigham,crime|drama,nicolas cage,bad lieutenant: port of call new orleans,shawn hatosy,english
ben stassen,jenny mccarthy,adventure|animation|family,ed begley jr.,a turtle's tale: sammy's adventures,stacy keach,english
guillaume canet,benoît magimel,comedy|drama,françois cluzet,little white lies,gilles lellouche,french
taylor hackford,bai ling,comedy|drama|romance|sport,scout taylor-compton,love ranch,gil birmingham,english
jérôme deschamps,andré wilms,adventure|animation|comedy,yolande moreau,the true story of puss'n boots,jérôme deschamps,english
inna evlannikova,evgeniy mironov,adventure|animation|comedy|family,sergey garmash,space dogs,aleksandr bashirov,russian
ridley scott,brad pitt,crime|drama|thriller,michael fassbender,the counselor,goran visnjic,english
jonathan english,mackenzie crook,action|adventure|history|romance,jason flemyng,ironclad,derek jacobi,english
sergey bondarchuk,dan o'herlihy,action|drama|history|war,rod steiger,waterloo,jack hawkins,english
teddy chan,charlie yeung,action|drama,siu-wong fan,kung fu killer,wai-keung lau,cantonese
mario van peebles,mario van peebles,action|thriller,martin kove,red sky,jacob vargas,english
stephen frears,peter capaldi,drama|romance,keanu reeves,dangerous liaisons,swoosie kurtz,english
walter salles,viggo mortensen,adventure|drama,kristen stewart,on the road,kirsten dunst,english
leonard nimoy,nichelle nichols,adventure|comedy|sci-fi,leonard nimoy,star trek iv: the voyage home,walter koenig,english
sylvester stallone,burt young,drama|sport,sylvester stallone,rocky balboa,mike tyson,english
ericson core,edgar ramírez,action|crime|sport|thriller,ray winstone,point break,delroy lindo,english
wes craven,jada pinkett smith,horror|mystery,omar epps,scream 2,kevin williamson,english
gavin o'connor,noah emmerich,action|drama|western,natalie portman,jane got a gun,boyd holbrook,english
tim story,regina hall,comedy|romance,romany malco,think like a man too,david walton,english
jonathan lynn,matthew perry,comedy|crime,bruce willis,the whole nine yards,natasha henstridge,english
herbert ross,chris penn,drama|music|romance,dianne wiest,footloose,lori singer,english
todd phillips,leah remini,comedy,will ferrell,old school,patrick fischler,english
terry gilliam,david hyde pierce,comedy|drama|fantasy,jeff bridges,the fisher king,harry shearer,english
danny cannon,mekhi phifer,horror|mystery,muse watson,i still know what you did last summer,bill cobbs,english
bonnie hunt,jim belushi,comedy|drama|romance,minnie driver,return to me,bonnie hunt,english
kevin smith,jeff anderson,comedy|romance,gerry bednob,zack and miri make a porno,jennifer schwalbach smith,english
neil labute,pruitt taylor vince,comedy|crime|drama,morgan freeman,nurse betty,kathleen wilhoite,english
grant heslov,jeff bridges,comedy|war,kevin spacey,the men who stare at goats,stephen root,english
george gallo,eddie griffin,action|comedy|crime|thriller,daniel roebuck,double take,garcelle beauvais,english
james mangold,clea duvall,biography|drama,angelina jolie pitt,"girl, interrupted",vanessa redgrave,english
robert luketic,gary cole,comedy|romance,topher grace,win a date with tad hamilton!,nathan lane,english
tim hill,f. murray abraham,adventure|comedy|family|fantasy|music|sci-fi,josh charles,muppets from space,david arquette,english
sidney lumet,diana ross,adventure|family|fantasy|music|musical,lena horne,the wiz,theresa merritt,english
brian robbins,ellen albertini dow,comedy|sport,oliver platt,ready to rumble,martin landau,english
ron shelton,robert wagner,comedy|drama|sport,willie garson,play it to the bone,lolita davidovich,english
douglas mcgrath,busy philipps,comedy|romance,olivia munn,i don't know how she does it,jessica szohr,english
alexandre aja,kelly brook,comedy|horror,adam scott,piranha 3d,jessica szohr,english
kevin spacey,bob hoskins,biography|drama|music|musical,kevin spacey,beyond the sea,brenda blethyn,english
steve boyum,m.c. gainey,comedy|family,paul walker,meet the deedles,a.j. langer,english
richard williams,kenneth williams,action|adventure|animation|comedy|fantasy,donald pleasence,the princess and the cobbler,clive revill,english
mary mcguckian,f. murray abraham,drama|romance,robert de niro,the bridge of san luis rey,geraldine chaplin,english
george tillman jr.,tom berenger,action|crime|drama|thriller,dwayne johnson,faster,mike epps,english
hayao miyazaki,blythe danner,adventure|animation|family|fantasy,christian bale,howl's moving castle,jean simmons,japanese
ruben fleischer,bill murray,adventure|comedy|horror|sci-fi,emma stone,zombieland,derek graf,english
peter jackson,thomas kretschmann,action|adventure|drama|romance,naomi watts,king kong,evan parke,english
frank coraci,clint howard,comedy|sport,adam sandler,the waterboy,peter dante,english
irvin kershner,kenny baker,action|adventure|fantasy|sci-fi,harrison ford,star wars: episode v - the empire strikes back,anthony daniels,english
michael bay,tchéky karyo,action|comedy|crime|drama|thriller,will smith,bad boys,theresa randle,english
david zucker,priscilla presley,comedy|crime,george kennedy,the naked gun 2½: the smell of fear,o.j. simpson,english
james wong,brendan fehr,horror|thriller,daniel roebuck,final destination,kerr smith,english
george clooney,philip seymour hoffman,drama,ryan gosling,the ides of march,jennifer ehle,english
david twohy,radha mitchell,horror|sci-fi,vin diesel,pitch black,cole hauser,english
tony goldwyn,ellen barkin,comedy|romance,hugh jackman,someone like you...,catherine dent,english
spike jonze,brian johnson,drama|romance|sci-fi,scarlett johansson,her,matt letscher,english
dexter fletcher,taron egerton,biography|comedy|drama|sport,hugh jackman,eddie the eagle,tim mcinnerny,english
john dahl,jessica bowman,mystery|thriller,paul walker,joy ride,dell yount,english
jonathan newman,keeley hawes,adventure|family|fantasy,ioan gruffudd,the adventurer: the curse of the midas box,oliver stark,english
wayne wang,eva amurri martino,comedy|drama,natalie portman,anywhere but here,shawn hatosy,english
andy cadiff,stark sands,comedy|romance,annabella sciorra,chasing liberty,terence maynard,english
michael dinner,dan hedaya,comedy|crime,seymour cassel,the crew,lainie kazan,english
steven soderbergh,michael fassbender,action|thriller,channing tatum,haywire,michael angarano,english
joseph sargent,mario van peebles,adventure|horror|thriller,judith barsi,jaws: the revenge,lynn whitfield,english
jerry zaks,robert de niro,drama,leonardo dicaprio,marvin's room,meryl streep,english
fred durst,dash mihok,biography|comedy|drama|family|sport,tasha smith,the longshots,garrett morris,english
neil jordan,ian hart,drama|romance,stephen rea,the end of the affair,james bolam,english
simon wincer,tia carrere,action|crime|drama|thriller|western,vanessa williams,harley davidson and the marlboro man,don johnson,english
paul haggis,charlize theron,crime|drama|mystery|thriller,james franco,in the valley of elah,barry corbin,english
anne fontaine,benoît poelvoorde,biography|drama,alessandro nivola,coco before chanel,marie gillain,french
jon cassar,landon liboiron,drama|western,demi moore,forsaken,michael wincott,english
stephen frears,iben hjejle,comedy|drama|romance,tom burke,chéri,gaye brown,english
,sarah carter,action|crime|drama|thriller,cole hauser,rogue,derek luke,english
mira nair,roger lloyd pack,drama,romola garai,vanity fair,lillete dubey,english
teddy chan,simon yam,action|drama|history,bingbing fan,bodyguards and assassins,nicholas tse,mandarin
mikael håfström,kim thomson,fantasy|horror,drew powell,1408,alexandra silber,english
mel brooks,dick van patten,adventure|comedy|sci-fi,joan rivers,spaceballs,michael winslow,english
russell crowe,ryan corr,drama|war,cem yilmaz,the water diviner,steve bastoni,english
jerry zucker,tony goldwyn,drama|fantasy|romance|thriller,demi moore,ghost,phil leeds,english
bobby farrelly,lin shaye,comedy|romance,sarah silverman,there's something about mary,richard tyson,english
john pasquin,eric lloyd,comedy|drama|family|fantasy,judge reinhold,the santa clause,peter boyle,english
john lee hancock,jay hernandez,drama|family|sport,dennis quaid,the rookie,angus t. jones,english
andy fickman,kyra sedgwick,comedy|family|sport,dwayne johnson,the game plan,madison pettis,english
clint eastwood,meryl streep,drama|romance,clint eastwood,the bridges of madison county,debra monk,english
luke greenfield,michael papajohn,comedy|sci-fi,louis lombardi,the animal,colleen haskell,english
richard attenborough,amrish puri,biography|drama|history,candice bergen,gandhi,john gielgud,english
lasse hallström,charlotte le bon,comedy|drama,manish dayal,the hundred-foot journey,juhi chawla,english
irwin winkler,jeremy northam,action|crime|drama|mystery|thriller,ken howard,the net,ray mckinnon,english
jessie nelson,loretta devine,drama,dianne wiest,i am sam,richard schiff,english
christopher spencer,amber rose revah,biography|drama|history,roma downey,son of god,darwin shaw,english
len wiseman,kevin grevioux,action|fantasy|thriller,sophia myles,underworld,shane brolly,english
mikael håfström,rza,drama|thriller,denis o'hare,derailed,xzibit,english
steven soderbergh,joel mchale,comedy|crime|drama|thriller,matt damon,the informant!,thomas f. wilson,english
richard attenborough,james frain,biography|drama|romance,anthony hopkins,shadowlands,julian fellowes,english
mike bigelow,eddie griffin,comedy,carlos ponce,deuce bigalow: european gigolo,charles keating,english
ken scott,bobby moynihan,comedy|drama,jack reynor,delivery man,matthew daddario,english
paul mcguigan,spencer wilding,drama|horror|sci-fi|thriller,daniel radcliffe,victor frankenstein,daniel mays,english
susanna white,pawel szajda,thriller,radivoje bukvic,our kind of traitor,grigoriy dobrygin,english
dennis dugan,neil diamond,comedy|crime|romance,amanda detmer,saving silverman,kyle gass,english
david bowers,rachael harris,comedy|family,zachary gordon,diary of a wimpy kid: dog days,karan brar,english
spike lee,jennifer esposito,crime|drama|romance|thriller,mira sorvino,summer of sam,mike starr,english
kevin smith,shannon elizabeth,comedy,will ferrell,jay and silent bob strike back,jason mewes,english
michael bay,steve buscemi,action|adventure|romance|sci-fi|thriller,scarlett johansson,the island,djimon hounsou,english
daniel sackheim,bruce dern,crime|drama|mystery|thriller,chris noth,the glass house,trevor morgan,english
ethan coen,channing tatum,comedy|mystery,scarlett johansson,"hail, caesar!",alden ehrenreich,english
harry elfont,paulo costanzo,comedy|music,rosario dawson,josie and the pussycats,aries spears,english
gary fleder,james franco,action|crime|drama|thriller,jason statham,homefront,frank grillo,english
uli edel,jim carter,adventure|comedy|family|fantasy,richard e. grant,the little vampire,alice krige,english
david o. russell,lily tomlin,comedy,naomi watts,i heart huckabees,isabelle huppert,english
fred dekker,rip torn,action|crime|sci-fi|thriller,cch pounder,robocop 3,mako,english
brian trenchard-smith,udo kier,action|adventure|fantasy|sci-fi|thriller,michael biehn,megiddo: the omega code 2,franco nero,english
blake edwards,vernon dobtcheff,comedy|drama|musical|romance|war,rock hudson,darling lili,jeremy kemp,english
hugh wilson,alex rocco,comedy|family|romance,brendan fraser,dudley do-right,eric idle,english
camille delamarre,noémie lenoir,action|crime|thriller,ed skrein,the transporter refueled,radivoje bukvic,english
laurence dunmore,jack davenport,drama|romance,johnny depp,the libertine,richard coyle,english
paul verhoeven,sebastian koch,drama|thriller|war,michiel huisman,black book,christian berkel,dutch
christian carion,dany boon,drama|history|music|romance|war,gary lewis,joyeux noel,ian richardson,french
david palmer,tom arnold,action|comedy|romance,bradley cooper,hit and run,beau bridges,english
callie khouri,ted danson,comedy|crime|thriller,stephen root,mad money,roger cross,english
rowan joffe,ben crompton,drama|mystery|thriller,colin firth,before i go to sleep,anne-marie duff,english
william friedkin,joe spinell,adventure|drama|thriller,roy scheider,sorcerer,amidou,english
john curran,milla jovovich,drama|thriller,robert de niro,stone,frances conroy,english
laurent tirard,ludivine sagnier,comedy|history,romain duris,molière,fabrice luchini,french
scott cooper,sam shepard,crime|drama|thriller,christian bale,out of the furnace,dendrie taylor,english
tony gilroy,denis o'hare,crime|drama|mystery|thriller,tom wilkinson,michael clayton,sydney pollack,english
peter segal,bradley whitford,adventure|comedy,wilford brimley,my fellow americans,sela ward,english
mark pellington,spencer treat clark,crime|drama|thriller,jeff bridges,arlington road,hope davis,english
juan josé campanella,diego ramos,adventure|animation|family|sport,pablo rago,underdogs,gabriel almirón,spanish
woody allen,judy davis,comedy|romance,ornella muti,to rome with love,alessandra mastronardi,english
clint eastwood,warren clarke,action|adventure|thriller,clint eastwood,firefox,kenneth colley,english
trey parker,eric idle,animation|comedy|fantasy|musical,minnie driver,south park: bigger longer & uncut,trey parker,english
frank oz,ewen bremner,comedy,peter dinklage,death at a funeral,kris marshall,english
stuart gillard,john aylward,action|adventure|comedy|family|fantasy|sci-fi,paige turco,teenage mutant ninja turtles iii,matt hill,english
brian robbins,d.b. sweeney,drama|sport,keanu reeves,hardball,dewayne warren,english
david o. russell,robert de niro,comedy|drama|romance,jennifer lawrence,silver linings playbook,bradley cooper,english
richard lagravenese,scott glenn,biography|crime|drama,hunter parrish,freedom writers,imelda staunton,english
tyler perry,loretta devine,drama,omari hardwick,for colored girls,kimberly elise,english
louis leterrier,qi shu,action|crime|thriller,jason statham,the transporter,matt schulze,english
jeff wadlow,neil brown jr.,action|drama|sport,djimon hounsou,never back down,leslie hope,english
katt shea,rachel blanchard,horror|sci-fi|thriller,jason london,the rage: carrie 2,eddie kaye thomas,english
,,game-show|reality-tv|romance,chris harrison,the bachelor,,english
sam mendes,jim gaffigan,comedy|drama|romance,catherine o'hara,away we go,carmen ejogo,english
joshua michael stern,judge reinhold,comedy|drama,madeline carroll,swing vote,nathan lane,english
brad silberling,holly hunter,drama|romance,jake gyllenhaal,moonlight mile,bob clendenin,english
tomas alfredson,colin firth,drama|mystery|thriller,benedict cumberbatch,tinker tailor soldier spy,gary oldman,english
john duigan,jill hennessy,comedy|drama|romance,elaine hendrix,molly,sarah wynter,english
jodie foster,cherry jones,drama,jennifer lawrence,the beaver,riley thomas stewart,english
colin higgins,barry corbin,comedy|musical,dolly parton,the best little whorehouse in texas,dom deluise,english
david cronenberg,sarah polley,horror|sci-fi|thriller,jennifer jason leigh,existenz,callum rennie,english
steven spielberg,karen allen,action|adventure,harrison ford,raiders of the lost ark,william hootkins,english
chris columbus,kieran culkin,adventure|comedy|family,macaulay culkin,home alone 2: lost in new york,devin ratray,english
steven spielberg,teri garr,drama|sci-fi,bob balaban,close encounters of the third kind,melinda dillon,english
jim sonzero,christina milian,drama|horror|sci-fi|thriller,ian somerhalder,pulse,rick gonzalez,english
tony scott,judge reinhold,action|comedy|crime|thriller,dean stockwell,beverly hills cop ii,ronny cox,english
adam shankman,kimberly j. brown,comedy,angus t. jones,bringing down the house,steve harris,english
jonathan demme,scott glenn,crime|drama|horror|thriller,anthony hopkins,the silence of the lambs,anthony heald,english
penelope spheeris,lara flynn boyle,comedy|music,tia carrere,wayne's world,kurt fuller,english
jeff tremaine,steve-o,action|comedy|documentary,bam margera,jackass 3d,chris pontius,english
jeannot szwarc,murray hamilton,adventure|horror|thriller,roy scheider,jaws 2,joseph mascolo,english
raja gosnell,nick zano,adventure|comedy|drama|family|romance,jamie lee curtis,beverly hills chihuahua,ali hillis,english
james wan,lili taylor,horror|mystery|thriller,mackenzie foy,the conjuring,hayley mcfarland,english
brian levant,tracy morgan,adventure|comedy|family|romance,nia long,are we there yet?,jay mohr,english
ben falcone,mark duplass,comedy,gary cole,tammy,ben falcone,english
d.j. caruso,aaron yoo,drama|mystery|thriller,sarah roemer,disturbia,jose pablo cantillo,english
richard linklater,sarah silverman,comedy|music,miranda cosgrove,school of rock,mike white,english
paul w.s. anderson,cary-hiroyuki tagawa,action|adventure|fantasy|sci-fi|thriller,christopher lambert,mortal kombat,bridgette wilson-sampras,english
paul mcguigan,christopher cousins,drama|mystery|romance|thriller,jessica paré,wicker park,mark camacho,english
keenen ivory wayans,jaime king,comedy|crime,busy philipps,white chicks,brittany daniel,english
alexander payne,nick krause,comedy|drama,shailene woodley,the descendants,beau bridges,english
andrew davis,zane holtz,adventure|comedy|drama|family|mystery,tim blake nelson,holes,ski carr,english
julie anne robinson,bobby coleman,drama|family|music|romance,kelly preston,the last song,melissa ordway,english
steve mcqueen,scoot mcnairy,biography|drama|history,quvenzhané wallis,12 years a slave,taran killam,english
charles stone iii,nick cannon,comedy|drama|music|romance,leonard roberts,drumline,jason weaver,english
tyler perry,cicely tyson,comedy|drama|romance,michael jai white,why did i get married too?,tasha smith,english
tim burton,dianne wiest,fantasy|romance,johnny depp,edward scissorhands,conchata ferrell,english
thea sharrock,emilia clarke,drama|romance,sam claflin,me before you,brendan coyle,english
tyler perry,tom arnold,comedy|crime|drama,john amos,madea's witness protection,romeo miller,english
william friedkin,fernando rey,action|crime|drama|thriller,roy scheider,the french connection,tony lo bianco,english
jon lucas,jay hernandez,comedy,mila kunis,bad moms,jada pinkett smith,english
aaron seltzer,carmen electra,comedy|romance,alyson hannigan,date movie,fred willard,english
robin budd,rob paulsen,adventure|animation|family|fantasy,roger rees,return to never land,spencer breslin,english
ava duvernay,tom wilkinson,biography|drama|history,david oyelowo,selma,oprah winfrey,english
steve trenbirth,phil collins,adventure|animation|family|musical,haley joel osment,the jungle book 2,tony jay,english
stephen kay,skye mccole bartusiak,drama|horror|mystery|thriller,barry watson,boogeyman,charles mesure,english
mennan yapo,amber valletta,drama|mystery|thriller,nia long,premonition,marc macaulay,english
jun falkenstein,john fiedler,animation|comedy|drama|family|musical,kath soucie,the tigger movie,ken sansom,english
jaume collet-serra,cch pounder,horror|mystery|thriller,jimmy bennett,orphan,aryana engineer,english
boaz yakin,joseph julian soria,adventure|family,jay hernandez,max,edgar arreola,english
,david mann,comedy,lamman rucker,meet the browns,denise boutte,english
jason friedberg,carmen electra,adventure|comedy,david carradine,epic movie,fred willard,english
john milius,mako,adventure|fantasy,william smith,conan the barbarian,sandahl bergman,english
tom mccarthy,jamey sheridan,biography|crime|drama|history,billy crudup,spotlight,brian d'arcy james,english
neil labute,justin chambers,crime|drama|thriller,jay hernandez,lakeview terrace,robert pine,english
takashi shimizu,sarah roemer,horror|thriller,sarah michelle gellar,the grudge 2,matthew knight,english
kevin rodney sullivan,james pickens jr.,comedy|drama|romance,richard lawson,how stella got her groove back,barry shabaka henley,english
peter hewitt,george carlin,adventure|comedy|fantasy|music|sci-fi,keanu reeves,bill & ted's bogus journey,alex winter,english
barry levinson,tina fey,comedy|drama|romance|thriller,robin williams,man of the year,amy poehler,english
gary nelson,maximilian schell,action|sci-fi,robert forster,the black hole,yvette mimieux,,english
anton corbijn,thekla reuten,crime|drama|thriller,violante placido,the american,filippo timi,english
gregory nava,constance marie,biography|drama|music,jon seda,selena,jacob vargas,english
jason friedberg,dave foley,comedy,diedrich bader,vampires suck,anneliese van der pol,english
alejandro g. iñárritu,harriet walter,drama,brad pitt,babel,dermot crowley,english
shawn levy,abigail spencer,comedy|drama,tina fey,this is where i leave you,jane fonda,english
john patrick shanley,meryl streep,drama|mystery,philip seymour hoffman,doubt,carrie preston,english
trey parker,maurice lamarche,action|comedy,jeremy shada,team america: world police,trey parker,english
john luessenhop,keram malicki-sánchez,horror|thriller,gunnar hansen,texas chainsaw 3d,shaun sipos,english
jon amiel,holly hunter,crime|drama|mystery|thriller,william mcnamara,copycat,harry connick jr.,english
malcolm d. lee,snoop dogg,comedy,marisa saks,scary movie 5,molly shannon,english
joshua logan,lee marvin,comedy|drama|musical|romance|western,clint eastwood,paint your wagon,ray walston,english
gus van sant,denis o'hare,biography|drama|history,james franco,milk,lucas grabeel,english
kevin reynolds,jan cornet,action|adventure|drama|mystery,peter firth,risen,maría botto,english
steve beck,ron eldard,horror,isaiah washington,ghost ship,francesca rettondini,english
todd strauss-schulson,thomas lennon,adventure|comedy,patton oswalt,a very harold & kumar 3d christmas,paula garcés,english
john mcnaughton,robert wagner,crime|drama|mystery|thriller,bill murray,wild things,jeff perry,english
nelson mccormick,paige turco,crime|thriller,sela ward,the stepfather,skyler samuels,english
john madden,jesper christensen,drama|thriller,tom wilkinson,the debt,romi aboulafia,english
stephen frears,lili taylor,comedy|drama|music|romance,drake bell,high fidelity,lisa bonet,english
eric valette,jason beghe,horror|mystery,johnny lewis,one missed call,margaret cho,english
john schlesinger,beverly d'angelo,crime|drama|thriller,joe mantegna,eye for an eye,philip baker hall,english
roger donaldson,saffron burrows,crime|drama|romance|thriller,jason statham,the bank job,daniel mays,english
michel gondry,kirsten dunst,drama|fantasy|romance|sci-fi,kate winslet,eternal sunshine of the spotless mind,tom wilkinson,english
andy fickman,james wolk,comedy|family|romance,jamie lee curtis,you again,christine lakin,english
david ayer,chris evans,action|crime|drama|thriller,keanu reeves,street kings,noel gugliemi,english
edgar wright,thomas law,action|comedy|sci-fi,michael smiley,the world's end,jasper levine,english
andrew fleming,laura harring,comedy|crime|family|mystery|romance|thriller,kay panabaker,nancy drew,tate donovan,english
michael spierig,damien garvey,action|horror|sci-fi|thriller,jay laga'aia,daybreakers,tiffany lamb,english
jim field smith,kim shaw,comedy|romance,mike vogel,she's out of my league,geoff stults,english
thomas bezucha,luke bracey,adventure|comedy|family|romance,leighton meester,monte carlo,brett cullen,english
william brent bell,frankie muniz,horror|thriller,adam goldberg,stay alive,samaire armstrong,english
simon wincer,tom selleck,action|adventure|drama|romance|western,alan rickman,quigley down under,ben mendelsohn,english
anthony bell,larry miller,adventure|animation|comedy|family|romance,kevin sussman,alpha and omega,christine lakin,english
renny harlin,kyle schmid,action|fantasy|horror|thriller,laura ramsey,the covenant,toby hemingway,english
jessica bendinger,vanessa lengies,comedy|drama|sport,jeff bridges,stick it,john patrick amedori,english
robert rodriguez,leo howard,comedy|family|fantasy,jimmy bennett,shorts,jake short,english
gus van sant,wayne knight,comedy|crime|drama,kurtwood smith,to die for,holland taylor,english
henry joost,marc john jefferies,adventure|crime|mystery|sci-fi|thriller,samira wiley,nerve,emily meade,english
ed harris,james gammon,crime|drama|western,viggo mortensen,appaloosa,tom bower,english
john carpenter,cary-hiroyuki tagawa,action|horror|thriller,sheryl lee,vampires,maximilian schell,english
,,action|adventure|animation|family|fantasy,pablo sevilla,yu-gi-oh! duel monsters,,japanese
alfred hitchcock,vera miles,horror|mystery|thriller,janet leigh,psycho,john gavin,english
howard deutch,taran killam,comedy|romance,dane cook,my best friend's girl,riki lindhome,english
shana feste,bruce greenwood,drama|romance,alex pettyfer,endless love,rhys wakefield,english
garry marshall,zachary gordon,comedy|drama,hector elizondo,georgia rule,jane fonda,english
steve rash,adam arkin,comedy,mako,under the rainbow,billy barty,english
richard donner,john wood,adventure|comedy|drama|fantasy,matthew broderick,ladyhawke,leo mckern,english
mark steven johnson,jan hooks,comedy|drama|family,oliver platt,simon birch,dana ivey,english
mike binder,don cheadle,drama,adam sandler,reign over me,john de lancie,english
sean penn,william hurt,adventure|biography|drama,kristen stewart,into the wild,hal holbrook,english
todd phillips,sarah silverman,comedy,jon heder,school for scoundrels,jacinda barrett,english
michael j. bassett,deborah kara unger,adventure|drama|horror|mystery|thriller,radha mitchell,silent hill: revelation 3d,martin donovan,english
robert rodriguez,salma hayek,crime|fantasy|horror,quentin tarantino,from dusk till dawn,cheech marin,english
frank nissen,brenda blethyn,animation|family|fantasy|mystery,kath soucie,pooh's heffalump movie,john fiedler,english
jodie foster,holly hunter,comedy|drama|romance,robert downey jr.,home for the holidays,steve guttenberg,english
stephen chow,chi ling chiu,action|comedy|crime|fantasy,shengyi huang,kung fu hustle,qiu yuen,cantonese
,mark feuerstein,comedy,leah remini,fired up,sharon lawrence,english
peter hastings,alex rocco,comedy|family|music|musical,haley joel osment,the country bears,stephen root,english
marc forster,shaun toub,drama,mustafa haidari,the kite runner,khalid abdalla,dari
alejandro g. iñárritu,eddie marsan,drama,naomi watts,21 grams,danny huston,english
paul abascal,tom hollander,action|crime|drama|thriller,cole hauser,paparazzi,kelly carlson,english
catherine hardwicke,taylor lautner,drama|fantasy|romance,kristen stewart,twilight,anna kendrick,english
chris koch,lochlyn munro,comedy|romance,thomas lennon,a guy thing,james brolin,english
amy heckerling,robert miano,comedy|romance,andy dick,loser,zak orth,english
michael moore,michael moore,crime|documentary|news,ronald reagan,capitalism: a love story,bernie sanders,english
george stevens,carroll baker,biography|drama|history,martin landau,the greatest story ever told,josé ferrer,english
billy ray,michael kelly,crime|drama|mystery|thriller,julia roberts,secret in their eyes,joe cole,english
jason friedberg,tony cox,comedy,carmen electra,disaster movie,ike barinholtz,english
nimród antal,fred ward,action|crime|thriller,andrew fiscella,armored,lorna raver,english
jon amiel,peter gallagher,action|comedy|crime|thriller,bill murray,the man who knew too little,joanne whalley,english
mark mylod,ari graynor,comedy|romance,chris evans,what's your number?,ed begley jr.,english
james mather,vincent regan,action|adventure|sci-fi|thriller,joseph gilgun,lockout,jacky ido,english
barry levinson,ariel gade,comedy,amy poehler,envy,sam lerner,english
mark neveldine,clifton collins jr.,action|crime|sci-fi|thriller,jason statham,crank: high voltage,david carradine,english
woody allen,chazz palminteri,comedy|crime,jim broadbent,bullets over broadway,dianne wiest,english
michael o. sajbel,tiffany dupont,biography|drama|history,james callis,one night with the king,nimrat kaur,english
phillip noyce,tzi ma,drama|mystery|romance|thriller|war,brendan fraser,the quiet american,holmes osborne,english
gore verbinski,hope davis,comedy|drama,nicolas cage,the weather man,michael rispoli,english
walter hill,wes studi,action|crime|drama|sport,fisher stevens,undisputed,jon seda,english
david koepp,dequina moore,comedy|drama|fantasy|romance,aasif mandvi,ghost town,jordan carlos,english
renny harlin,ashley scott,action|crime|thriller,taylor cole,12 rounds,nick gomez,english
matt reeves,dylan minnette,drama|fantasy|horror|mystery,chloë grace moretz,let me in,kodi smit-mcphee,english
charles t. kanganis,dustin nguyen,action|comedy|family,victor wong,3 ninjas kick back,don stark,english
michel gondry,mia farrow,comedy,quinton aaron,be kind rewind,melonie diaz,english
stephen frears,christopher guest,comedy|drama|music|war,bob hoskins,mrs henderson presents,sarah solemani,english
john hillcoat,norman reedus,action|crime|drama|thriller,kate winslet,triple 9,clifton collins jr.,english
woody allen,lynn cohen,comedy,woody allen,deconstructing harry,judy davis,english
damon santostefano,oliver platt,comedy|romance,matthew perry,three to tango,david ramsey,english
john wells,omar sy,comedy|drama,bradley cooper,burnt,riccardo scamarcio,english
neil jordan,demi moore,comedy|crime,robert de niro,we're no angels,james russo,english
woody allen,gaby hoffmann,comedy|musical|romance,natasha lyonne,everyone says i love you,jeff derocker,english
frank oz,ewen bremner,comedy,peter dinklage,death at a funeral,kris marshall,english
james wan,kelly preston,action|crime|thriller,aisha tyler,death sentence,edi gathegi,english
kirk jones,james frain,adventure|drama,robert de niro,everybody's fine,brendan sexton iii,english
bob clark,vanessa angel,comedy|family|sci-fi,scott baio,superbabies: baby geniuses 2,peter wingfield,english
les mayfield,susie essman,action|comedy|crime,miguel ferrer,the man,gigi rice,english
les mayfield,will patton,action|comedy|crime,callum rennie,code name: the cleaner,cedric the entertainer,english
michael lembeck,nia vardalos,comedy|crime|music,debbie reynolds,connie and carla,dash mihok,english
bob fosse,ricardo montalban,comedy|drama|music|musical|romance,sammy davis jr.,sweet charity,ben vereen,english
paul thomas anderson,katherine waterston,comedy|crime|drama|mystery|romance,martin dew,inherent vice,serena scott thomas,english
dave borthwick,kylie minogue,adventure|animation|comedy|family|fantasy,jimmy fallon,doogal,jon stewart,english
benson lee,caity lotz,drama|music,chris brown,battle of the year,laz alonso,english
,eric mccormack,crime|drama|mystery|thriller,levar burton,perception,scott wolf,english
david zucker,geoffrey arend,comedy|fantasy,chriss anglin,an american carol,gary coleman,english
robert rodriguez,demián bichir,action|comedy|crime|thriller,alexa penavega,machete kills,marko zaror,english
